Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3
1471402.4278,-0.8580818749999999,-0.17621324218749912,0.6512228515624999,-31.0,-50.0,-14.6,216.2,-313.8,-401.0
1471403.38,-0.98449572265625,-0.2260126367187496,1.348414375,-52.6,35.0,42.4,201.6,-306.0,-417.2
1471404.4305999998,-0.9691728320312499,-0.26048914062500117,1.333091484375,-6.4,8.8,-4.4,210.2,-297.0,-427.4
1471405.4282,-0.9653421093749999,0.049799394531250485,0.9155427148437499,-2.6,-13.0,-8.4,209.4,-308.2,-417.8
1471406.4308,-0.92320416015625,0.08810662109375045,0.81594392578125,-30.2,-9.2,-14.8,219.6,-312.4,-410.0
1471407.4326,-0.8657433203125,0.022984335937501044,0.842758984375,1.4,-22.8,-12.0,220.2,-310.2,-409.4
1471408.3821666667,-0.8887276562499999,-0.29879636718750113,0.74699091796875,-23.0,35.6,17.4,222.0,-315.2,-400.8
1471409.4292000001,-0.9461884960937499,-0.21835119140624926,0.57843912109375,-26.6,-42.0,17.0,215.8,-311.8,-410.6
1471410.43,-0.9270348828124999,0.02681505859374944,0.6052541796875,-10.8,-51.2,-11.2,205.8,-312.6,-407.4
1471411.4256,-0.9691728320312499,0.04213794921875014,0.46351744140624995,-20.6,-38.6,-3.6,196.4,-309.2,-401.2
1471412.4274000002,-0.8504204296874999,-0.01915361328125087,0.6512228515624999,-15.8,-37.6,-8.2,189.0,-313.8,-397.4
1471413.3855,-0.9193734375,0.01532289062499892,0.63973068359375,-37.6,-12.6,-20.0,185.4,-313.4,-396.2
1471414.4316,-0.904050546875,-0.030645781249999615,0.42521021484374993,-4.0,-72.2,-4.2,180.8,-312.4,-396.0
1471415.4304000002,-0.8389282617187499,-0.23750480468750013,1.06877162109375,-39.8,26.4,22.2,171.6,-317.2,-386.8
1471416.4312,-1.0036493359374998,-0.0804451757812501,0.80828248046875,-1.0,-1.0,2.4,174.4,-304.8,-405.2
1471417.4264,-0.9346963281249999,0.1302445703124988,0.8887276562499999,-42.6,26.0,-16.8,182.0,-311.2,-396.0
1471418.3861666666,-0.9193734375,-0.09193734375000062,1.1760318554687499,-20.0,7.2,-0.6,191.0,-312.2,-411.8
1471419.4308,-0.8887276562499999,-0.11109095703124972,0.6665457421875,-11.6,-62.2,-11.6,194.6,-306.6,-410.6
1471420.43,-0.8657433203125,-0.1264138476562504,0.842758984375,-13.6,-29.2,3.8,176.4,-312.8,-399.2
1471421.4287999999,-0.8580818749999999,-0.19919757812500016,1.12240173828125,-36.4,25.2,22.8,178.4,-310.8,-397.6
1471422.4294,-0.9270348828124999,-0.0804451757812501,1.07643306640625,-8.0,35.6,-7.8,185.6,-306.0,-408.0
1471423.388,-0.8887276562499999,-0.11109095703124972,0.5018246679687499,-12.4,-16.2,1.8,197.8,-309.8,-407.0
1471424.4296,-0.9193734375,0.06895300781249958,0.720175859375,-29.4,-28.8,-6.4,191.4,-312.2,-403.8
1471425.4324,-0.9730035546874999,-0.13024457031250058,0.97683427734375,-23.8,-35.0,-1.4,185.0,-307.0,-404.2
1471426.426,-0.9193734375,0.06895300781249958,0.8542511523437499,-12.6,-7.8,-8.2,179.8,-308.6,-401.8
1471427.43,-0.8580818749999999,0.44436382812500064,0.6703764648437499,-25.6,-26.4,-66.2,196.8,-317.6,-398.4
1471428.3915,-0.5439626171874999,-1.0266336718750004,0.7929595898437499,11.0,-34.2,118.2,178.4,-312.8,-397.6
1471429.4275999998,-1.026633671875,0.4788403320312504,0.39456443359375,-20.0,41.8,-36.6,155.0,-305.4,-389.4
1471430.4316,-0.7584830859375,0.04596867187500031,0.2375048046875,-3.4,-19.2,-26.8,183.6,-317.6,-390.8
1471431.4274000002,-0.8963891015624998,-0.02681505859374944,0.45968671875,-48.8,-15.6,3.6,186.6,-314.2,-393.8
1471432.429,-0.92320416015625,-0.18770541015624964,0.88489693359375,-33.4,0.6,16.4,180.2,-306.6,-404.6
1471433.3936666667,-0.92320416015625,0.10342951171874937,0.7891288671875,-3.0,-3.8,-15.2,187.2,-307.6,-406.0
1471434.432,-0.89255837890625,0.3409343164062495,0.6052541796875,-15.8,10.6,-54.2,200.4,-316.8,-396.0
1471435.4268,-0.63206923828125,-0.8504204296874995,0.48650177734374994,-22.6,-37.8,97.2,194.6,-319.4,-392.2
1471436.4287999999,-1.026633671875,0.3217807031249986,0.5899312890625,-22.8,6.4,-13.8,159.0,-310.6,-396.6
1471437.4305999998,-0.842758984375,0.0651222851562494,0.54779333984375,-14.4,-11.4,-33.8,183.6,-311.2,-402.4
1471438.3916666668,-0.88489693359375,-0.11875240234375006,0.7891288671875,-36.6,-10.2,-7.2,189.2,-311.6,-408.0
1471439.4302,-0.9461884960937499,0.13407529296875076,0.93852705078125,-21.8,-9.2,-31.4,193.2,-309.6,-404.8
1471440.4335999999,-0.8006210351562499,-0.34859576171874984,0.9002198242187499,-13.2,1.2,30.6,201.8,-314.6,-401.8
1471441.427,-0.99981861328125,-0.09193734375000062,0.7431601953124999,-37.0,-15.2,20.0,182.2,-306.6,-409.8
1471442.4257999999,-0.7738059765624999,-0.10342951171874937,1.0955866796875,-36.2,-23.8,-2.0,178.2,-305.0,-409.4
1471443.3935,-0.86191259765625,0.11492167968749989,1.3407529296874998,-17.0,-2.8,-19.2,178.2,-309.0,-412.2
1471444.43,-0.8580818749999999,0.3409343164062495,1.42119810546875,-2.2,-2.8,-49.4,192.4,-305.6,-414.0
1471445.4324,-0.6780379101562499,-0.9346963281249998,0.7125144140625,-21.6,-17.4,95.6,196.6,-310.6,-406.2
1471446.4274000002,-0.9117119921875,0.4328716601562501,0.9193734375,-9.2,-3.8,-34.8,164.8,-305.2,-401.6
1471447.4287999999,-0.7584830859375,-0.06895300781249958,0.7240065820312499,-20.2,-15.2,-14.8,187.4,-308.6,-402.6
1471448.3993333334,-0.904050546875,-0.0957680664062508,0.6205770703125,-19.8,-19.4,0.6,182.8,-310.4,-403.2
1471449.4274000002,-0.86957404296875,-0.07278373046874975,0.76997525390625,-30.6,-4.6,-12.6,179.4,-313.8,-398.2
1471450.4282,-0.9193734375,0.01532289062499892,0.8389282617187499,-25.0,-13.6,-5.0,181.6,-312.4,-403.6
1471451.431,-0.873404765625,-0.0651222851562494,0.95001921875,-20.6,-21.4,5.8,182.0,-308.8,-404.8
1471452.4257999999,-0.904050546875,-0.14556746093750128,1.0726023437499999,-18.6,9.2,1.0,184.4,-310.0,-401.2
1471453.3988333333,-0.904050546875,-0.19153613281249982,0.873404765625,-16.2,0.4,-1.6,190.4,-311.6,-401.6
1471454.4322000002,-0.9270348828124999,0.13407529296875076,0.64356140625,-21.0,-26.4,-12.8,187.4,-311.0,-401.4
1471455.4274000002,-0.8963891015624998,-0.3715800976562491,0.9078812695312499,-23.6,-23.2,23.8,178.8,-304.8,-407.6
1471456.4294,-0.9193734375,0.1302445703124988,1.03046439453125,-12.8,-0.2,-20.0,172.8,-309.2,-402.4
1471457.432,-0.842758984375,0.17238251953125072,0.44436382812499997,1.8,-14.6,-9.4,182.8,-316.0,-390.8
1471458.398,-0.96151138671875,-0.13790601562499916,0.6856993554687499,-43.8,-14.2,-20.4,193.4,-321.4,-391.0
